Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
Kepler-790 b,,,,0.19,0.017,,,3.049,13.7347,2.3574,13.2,727.0,5208.0,4.56,True,nexsci
Kepler-791 b,,,,0.27,0.03,,,3.002,14.554,6.2539,13.2,1447.0,6383.0,4.21,True,nexsci
Kepler-792 b,,,,0.17,0.0142,,,3.06,11.3012,3.9792,13.5,1205.0,5971.0,4.38,True,nexsci
Kepler-793 b,,,,0.12,0.00771,,,3.109,4.2415,3.115,12.9,794.0,5745.0,4.46,True,nexsci
Kepler-794 b,,,,0.19,0.016,,,3.05,11.1313,4.1751,12.0,763.0,5839.0,4.23,True,nexsci
Kepler-795 b,,,,0.15,0.0109,,,3.079,29.6193,4.9768,11.7,458.0,5631.0,4.45,True,nexsci
Kepler-796 b,,,,0.12,0.00705,,,3.113,6.4009,2.5038,11.1,377.0,5475.0,4.33,True,nexsci
Kepler-797 b,,,,0.19,0.0168,,,3.044,27.0724,6.943,12.8,752.0,5680.0,4.47,True,nexsci
Kepler-798 b,,,,0.21,0.0198,,,3.034,13.7193,5.5426,12.8,1085.0,6224.0,4.29,True,nexsci
Kepler-799 b,,,,0.61,0.119,,,2.893,133.4605,11.611,13.5,1029.0,5681.0,4.49,True,nexsci
Kepler-79 b,0.0,0.001,0.009,0.31,0.0343,1180.0,992.0,2.947,13.4845,5.0575,12.6,1051.43,6174.0,4.27,True,nexsci
Kepler-79 c,0.0,0.001,0.019,0.33,0.019,933.0,785.0,2.631,27.4029,6.8291,12.6,1051.43,6174.0,4.27,True,nexsci
Kepler-79 d,0.0,0.001,0.12,0.64,0.019,754.0,634.0,2.062,52.0902,8.6329,12.6,1051.43,6174.0,4.27,True,nexsci
Kepler-79 e,0.0,0.0,0.011,0.31,0.013,650.0,546.0,2.523,81.0659,3.181,12.6,1051.43,6174.0,4.27,True,nexsci
Kepler-7 b,0.109,0.073,0.12,1.62,0.441,1939.0,1630.0,2.619,4.8855,5.1313,11.5,947.46,5933.0,3.98,True,nexsci
Kepler-800 b,,,,0.25,0.0267,,,3.011,14.1318,3.8539,13.9,1049.0,5315.0,4.55,True,nexsci
Kepler-801 b,,,,0.18,0.0147,,,3.061,11.4193,3.9867,12.8,419.0,4435.0,4.66,True,nexsci
Kepler-802 b,,,,0.32,0.0386,,,2.981,40.0587,5.533,13.1,828.0,5507.0,4.5,True,nexsci
Kepler-803 b,,,,0.34,0.0434,,,2.974,50.2864,6.3668,12.0,615.0,5919.0,4.36,True,nexsci
Kepler-804 b,,,,0.17,0.0139,,,3.061,14.3746,4.782,12.2,648.0,5817.0,4.4,True,nexsci
Kepler-804 c,,,,0.1,0.00489,,,3.066,9.6519,4.457,12.2,648.0,5817.0,4.4,True,nexsci
Kepler-805 b,,,,0.26,0.0274,,,3.009,30.8639,8.4209,11.2,657.0,6112.0,4.08,True,nexsci
Kepler-806 b,,,,0.1,0.00489,,,3.066,8.0922,5.455,10.1,260.0,5770.0,4.3,True,nexsci
Kepler-807 b,,,,0.93,0.242,,,2.841,117.9311,5.8091,13.7,1312.0,5965.0,4.41,True,nexsci
Kepler-808 b,,,,0.13,0.00859,,,3.1,0.6313,1.1076,11.9,321.0,4653.0,4.62,True,nexsci
Kepler-809 b,,,,0.27,0.0293,,,3.002,55.6393,7.1189,13.2,933.0,5734.0,4.45,True,nexsci
Kepler-80 b,0.0,0.001,0.014,0.24,0.0218,843.0,709.0,2.98,7.0525,2.4271,12.3,357.0,4540.0,4.64,True,nexsci
Kepler-80 c,0.0,0.001,0.014,0.24,0.02121,763.0,641.0,2.946,9.5236,2.3478,12.3,357.0,4540.0,4.64,True,nexsci
Kepler-80 d,0.0,0.001,0.003,0.14,0.02124,1113.0,936.0,3.454,3.0722,1.9896,12.3,357.0,4540.0,4.64,True,nexsci
Kepler-80 e,0.0,0.001,0.005,0.14,0.01299,969.0,815.0,3.197,4.6449,1.9896,12.3,357.0,4540.0,4.64,True,nexsci
Kepler-80 f,0.001,0.001,0.007,0.11,0.00606,1623.0,1365.0,3.11,0.9868,1.4007,12.3,357.0,4540.0,4.64,True,nexsci
Kepler-80 g,0.0,0.0,0.002,0.1,0.00474,,418.0,3.061,14.6456,2.12,12.3,357.0,4540.0,4.64,True,nexsci
Kepler-810 b,,,,0.17,0.0138,,,3.063,4.5973,2.8229,14.2,1554.0,5803.0,4.42,True,nexsci
Kepler-811 b,,,,0.24,0.0244,,,3.018,23.5845,5.4641,12.5,847.0,5747.0,4.25,True,nexsci
Kepler-812 b,,,,0.32,0.0388,,,2.981,10.1172,4.939,12.8,1482.0,6761.0,4.13,True,nexsci
Kepler-813 b,,,,0.19,0.0164,,,3.047,19.1295,3.757,13.1,840.0,5743.0,4.48,True,nexsci
Kepler-814 b,,,,0.19,0.0162,,,3.051,6.147,3.3919,13.4,1327.0,6162.0,4.33,True,nexsci
Kepler-815 b,,,,0.37,0.0498,,,2.962,8.575,8.545,11.2,1199.0,5028.0,3.46,True,nexsci
Kepler-816 b,,,,0.91,0.234,,,2.842,10.5068,3.7432,13.9,1059.0,5286.0,4.54,True,nexsci
Kepler-817 b,,,,0.81,0.189,,,2.858,3.9901,2.4269,14.0,1401.0,5861.0,4.42,True,nexsci
Kepler-818 b,,,,0.46,0.072,,,2.934,10.0354,3.4185,13.4,967.0,5638.0,4.49,True,nexsci
Kepler-819 b,,,,0.25,0.0253,,,3.015,33.1996,5.0135,13.2,722.0,5279.0,4.55,True,nexsci
Kepler-81 b,0.0,0.001,0.005,0.22,0.054,868.0,730.0,3.458,5.955,2.3691,12.4,351.79,4500.0,4.7,True,nexsci
Kepler-81 c,0.0,0.0,0.016,0.21,0.014,686.0,577.0,2.892,12.04,2.6532,12.4,351.79,4500.0,4.7,True,nexsci
Kepler-81 d,0.0,0.0,0.004,0.11,0.00606,554.0,466.0,3.11,20.8378,2.5251,12.4,351.79,4500.0,4.7,True,nexsci
Kepler-820 b,,,,0.54,0.097,,,2.911,127.8338,10.8773,12.5,989.0,6260.0,4.25,True,nexsci
Kepler-821 b,,,,0.12,0.00714,,,3.112,1.9228,1.9191,12.9,619.0,5191.0,4.56,True,nexsci
Kepler-822 b,,,,0.16,0.0119,,,3.072,3.223,2.8575,13.1,956.0,5928.0,4.4,True,nexsci
Kepler-823 b,,,,0.14,0.00972,,,3.09,4.1681,2.723,13.2,896.0,5643.0,4.47,True,nexsci
Kepler-824 b,,,,0.17,0.0131,,,3.066,4.5144,2.9561,13.4,1352.0,6035.0,4.32,True,nexsci
Kepler-825 b,,,,0.14,0.0093,,,3.096,3.7736,2.6854,12.7,820.0,5976.0,4.39,True,nexsci
Kepler-825 c,,,,0.16,0.0127,,,3.068,8.1818,2.4596,12.7,820.0,5976.0,4.39,True,nexsci
Kepler-826 b,,,,0.11,0.0066,,,3.115,4.4876,2.8308,12.0,649.0,6079.0,4.34,True,nexsci
Kepler-827 b,,,,0.5,0.0849,,,2.922,51.9293,5.3083,14.2,1352.0,5602.0,4.5,True,nexsci
Kepler-828 b,,,,0.14,0.00909,,,3.092,0.5679,0.9869,13.0,625.0,5039.0,4.58,True,nexsci
Kepler-829 b,,,,0.19,0.016,,,3.05,6.8834,2.2442,13.3,954.0,5698.0,4.46,True,nexsci
Kepler-82 b,0.0,0.0,0.01,0.36,0.03823,733.0,617.0,2.857,26.44,4.356,13.5,927.97,5529.0,4.49,True,nexsci
Kepler-82 c,0.0,0.0,0.02,0.48,0.04373,587.0,494.0,2.68,51.54,6.695,13.5,927.97,5529.0,4.49,True,nexsci
Kepler-82 d,0.001,0.001,0.004,0.16,0.0119,1631.0,1372.0,3.072,2.383,2.0677,13.5,927.97,5529.0,4.49,True,nexsci
Kepler-82 e,0.0,0.001,0.006,0.22,0.021,1198.0,1008.0,3.032,5.9022,2.8701,13.5,927.97,5529.0,4.49,True,nexsci
Kepler-830 b,,,,0.15,0.0111,,,3.076,11.297,4.583,13.3,1122.0,6037.0,4.38,True,nexsci
Kepler-831 b,,,,0.11,0.00678,,,3.119,5.6215,2.3638,12.2,577.0,5732.0,4.46,True,nexsci
Kepler-832 b,,,,0.18,0.0154,,,3.052,7.1397,3.929,14.2,1346.0,5596.0,4.5,True,nexsci
Kepler-833 b,,,,0.18,0.0149,,,3.057,18.7547,3.0681,12.9,421.0,4339.0,4.67,True,nexsci
Kepler-834 b,,,,0.18,0.0149,,,3.057,13.3239,3.2768,13.5,620.0,4554.0,4.64,True,nexsci
Kepler-835 b,,,,0.25,0.0258,,,3.013,11.4191,4.3819,14.6,2011.0,5954.0,4.38,True,nexsci
Kepler-836 b,,,,0.24,0.0249,,,3.016,11.3611,4.2053,13.2,1003.0,5895.0,4.41,True,nexsci
Kepler-837 b,,,,0.23,0.0223,,,3.027,16.5606,2.2611,13.5,846.0,5403.0,4.56,True,nexsci
Kepler-838 b,,,,0.24,0.0249,,,3.016,15.7496,4.6942,13.8,1210.0,5770.0,4.46,True,nexsci
Kepler-839 b,,,,0.23,0.0224,,,3.025,37.8145,8.5785,12.3,833.0,6058.0,4.29,True,nexsci
Kepler-83 b,0.0,0.001,0.002,0.25,0.132,758.0,637.0,3.712,9.77,2.4764,12.9,405.01,4648.0,4.72,True,nexsci
Kepler-83 c,0.0,0.0,0.005,0.21,0.036,596.0,501.0,3.302,20.09,3.5881,12.9,405.01,4648.0,4.72,True,nexsci
Kepler-83 d,0.0,0.001,0.001,0.17,0.077,907.0,762.0,3.805,5.1698,2.1723,12.9,405.01,4648.0,4.72,True,nexsci
Kepler-840 b,,,,1.52,135.0,,,5.159,2.4958,4.2624,12.6,778.0,5920.0,4.41,True,nexsci
Kepler-841 b,,,,0.47,0.0749,,,2.93,124.4198,3.6612,13.9,1052.0,5324.0,4.56,True,nexsci
Kepler-842 b,,,,0.14,0.01,,,3.084,1.2196,1.5672,12.9,552.0,4848.0,4.6,True,nexsci
Kepler-843 b,,,,0.23,0.0227,,,3.023,2.0539,2.1809,13.7,1247.0,5830.0,4.42,True,nexsci
Kepler-844 b,,,,0.15,0.0109,,,3.079,2.613,1.9296,13.1,394.0,4128.0,4.7,True,nexsci
Kepler-845 b,,,,0.18,0.0152,,,3.056,0.9279,1.4398,12.5,471.0,4913.0,4.59,True,nexsci
Kepler-846 b,,,,0.22,0.0211,,,3.03,19.8079,3.5239,14.0,1233.0,5579.0,4.5,True,nexsci
Kepler-847 b,,,,0.1,0.00553,,,3.095,2.3432,2.0391,12.7,529.0,4940.0,4.58,True,nexsci
Kepler-848 b,,,,0.15,0.0111,,,3.076,6.9113,5.6555,12.4,797.0,5695.0,4.28,True,nexsci
Kepler-849 b,,,,0.64,0.127,,,2.89,394.6245,23.9917,11.5,747.0,6059.0,4.1,True,nexsci
Kepler-84 b,,,,0.2,0.126,,,3.897,8.726,4.7239,13.2,1443.27,6031.0,4.32,True,nexsci
Kepler-84 c,,,,0.21,0.064,,,3.552,12.883,5.6609,13.2,1443.27,6031.0,4.32,True,nexsci
Kepler-84 d,0.0,0.0,0.003,0.12,0.0078,1640.0,1379.0,3.106,4.2245,3.0281,13.2,1443.27,6031.0,4.32,True,nexsci
Kepler-84 e,0.0,0.0,0.004,0.23,0.0229,879.0,739.0,3.023,27.4344,5.1096,13.2,1443.27,6031.0,4.32,True,nexsci
Kepler-84 f,0.0,0.0,0.003,0.2,0.0172,748.0,629.0,3.045,44.5522,5.867,13.2,1443.27,6031.0,4.32,True,nexsci
Kepler-850 b,,,,0.16,0.012,,,3.071,7.193,3.4351,14.0,1535.0,5932.0,4.39,True,nexsci
Kepler-851 b,,,,0.15,0.0109,,,3.079,8.507,3.0259,13.4,869.0,5455.0,4.53,True,nexsci
Kepler-852 b,,,,0.23,0.022,,,3.025,44.931,6.498,12.6,854.0,6100.0,4.38,True,nexsci
Kepler-853 b,,,,0.15,0.011,,,3.078,7.1689,4.5907,11.2,610.0,6350.0,4.17,True,nexsci
Kepler-854 b,,,,1.49,132.0,,,5.167,2.1446,3.9028,12.0,741.0,6179.0,4.29,True,nexsci
Kepler-855 b,,,,0.74,0.166,,,2.87,7.8866,5.2191,13.3,1043.0,5835.0,4.42,True,nexsci
Kepler-856 b,,,,0.83,0.199,,,2.855,8.0277,3.1401,13.9,1175.0,5535.0,4.49,True,nexsci
Kepler-857 b,,,,0.61,0.117,,,2.896,85.3513,6.7568,13.4,1039.0,5773.0,4.45,True,nexsci
Kepler-858 b,,,,0.43,0.0664,,,2.941,76.136,7.9602,10.9,296.0,5653.0,4.5,True,nexsci
Kepler-859 b,,,,0.28,0.0307,,,3.0,20.3818,3.7429,13.9,915.0,5020.0,4.59,True,nexsci
Kepler-85 b,,,,0.18,0.0143,,,3.059,8.306,3.8786,13.1,782.09,5436.0,4.49,True,nexsci
Kepler-85 c,,,,0.19,0.066,,,3.638,12.513,4.572,13.1,782.09,5436.0,4.49,True,nexsci
Kepler-85 d,0.0,0.0,0.002,0.11,0.00588,816.0,686.0,3.105,17.9132,4.5096,13.1,782.09,5436.0,4.49,True,nexsci
